アー	aː
インフォメーション・プロセッサー	iɴɸomeːɕoɴ pɯɾosesːaː
インフォメーション・プロセッシング	iɴɸomeːɕoɴ pɯɾoseɕːiɴgɯ
インフォメーション・プロバイダー	iɴɸomeːɕoɴ pɯɾobaidaː
インフォメーション・ユーティリティー	iɴɸomeːɕoɴ jɯːteiɾiteiː
インフォメーション・リテラシー	iɴɸomeːɕoɴ ɾiteɾaɕiː
インフォメーション・リトリーバル	iɴɸomeːɕoɴ ɾitoɾiːbaɾɯ
インフォメーション・レボリューション	iɴɸomeːɕoɴ ɾeboɾjɯːɕoɴ
インフォメーションアナリスト	iɴɸomeːɕoɴanaɾisɯto
インフォメーションギャプ	iɴɸomeːɕoɴgjapɯ
インフォメーションサイエンス	iɴɸomeːɕoɴsaieɴsɯ
インフォメーションシステム	iɴɸomeːɕoɴɕisɯtemɯ
インフォメーションシンジケート	iɴɸomeːɕoɴɕiɴdʑikeːto
インフォメーションスーパーハイウェイ	iɴɸomeːɕoɴsɯːpaːhaiɯei
インフォメーションセオリー	iɴɸomeːɕoɴseoɾiː
インフォメーションセンター	iɴɸomeːɕoɴseɴtaː
インフォメーションソサイエティー	iɴɸomeːɕoɴsosaieteiː
インフォメーションテクノロジー	iɴɸomeːɕoɴtekɯnoɾodʑiː
インフォメーションディスクロージャー	iɴɸomeːɕoɴdeisɯkɯɾoːdʑaː
インフォメーションデモクラシー	iɴɸomeːɕoɴdemokɯɾaɕiː
インフォメーションブローカー	iɴɸomeːɕoɴbɯɾoːkaː
インフォメーションプロセッサー	iɴɸomeːɕoɴpɯɾosesːaː
インフォメーションプロセッシング	iɴɸomeːɕoɴpɯɾoseɕːiɴgɯ
インフォメーションプロバイダー	iɴɸomeːɕoɴpɯɾobaidaː
インフォメーションユーティリティー	iɴɸomeːɕoɴjɯːteiɾiteiː
インフォメーションリテラシー	iɴɸomeːɕoɴɾiteɾaɕiː
インフォメーションリトリーバル	iɴɸomeːɕoɴɾitoɾiːbaɾɯ
インフォメーションレボリューション	iɴɸomeːɕoɴɾeboɾjɯːɕoɴ
インフォモザイク	iɴɸomozaikɯ
インフュージョン	iɴɸɯjɯːdʑoɴ
インフラストラクチャ	iɴɸɯɾasɯtoɾakɯtɕa
インフラストラクチャ・モード	iɴɸɯɾasɯtoɾakɯtɕa moːdo
インフラストラクチャモード	iɴɸɯɾasɯtoɾakɯtɕamoːdo
インフルエンザ	iɴɸɯɾɯeɴza
インフルエンザ・ウイルス	iɴɸɯɾɯeɴza ɯiɾɯsɯ
インフルエンザ・ワクチン	iɴɸɯɾɯeɴza ɰᵝakɯtɕiɴ
インフルエンザウイルス	iɴɸɯɾɯeɴzaɯiɾɯsɯ
インフルエンザワクチン	iɴɸɯɾɯeɴzaɰᵝakɯtɕiɴ
インフルエンス	iɴɸɯɾɯeɴsɯ
インフレ・ギャップ	iɴɸɯɾe gjapːɯ
インフレ・ターゲット	iɴɸɯɾe taːgetːo
インフレ・ヘッジ	iɴɸɯɾe hedʑːi
インフレアドインタフェース	iɴɸɯɾeadoiɴtaɸɯeːsɯ
インフレギャップ	iɴɸɯɾegjapːɯ
インフレターゲット	iɴɸɯɾetaːgetːo
インフレヘッジ	iɴɸɯɾehedʑːi
インフロー	iɴɸɯɾoː
インブリーディング	iɴbɯɾiːdeiɴgɯ
インブリード	iɴbɯɾiːdo
インプット・ポート	iɴpɯtːo poːto
インプット・メソッド	iɴpɯtːo mesodːo
インプットポート	iɴpɯtːopoːto
インプットメソッド	iɴpɯtːomesodːo
インプライズ	iɴpɯɾaizɯ
インプラント	iɴpɯɾaɴto
インプリケーション	iɴpɯɾikeːɕoɴ
インプリメンタ	iɴpɯɾimeɴta
インプリメンテーション	iɴpɯɾimeɴteːɕoɴ
インプリメンテイション	iɴpɯɾimeɴteiɕoɴ
インプリメント	iɴpɯɾimeɴto
インプリンティング	iɴpɯɾiɴteiɴgɯ
インプレー	iɴpɯɾeː
インプレッシブ	iɴpɯɾeɕːibɯ
インプレッショニズム	iɴpɯɾeɕːonizɯmɯ
インプレッション	iɴpɯɾeɕːoɴ
インプレメント	iɴpɯɾemeɴto
インプロ	iɴpɯɾo
インプロセス	iɴpɯɾosesɯ
インプロビゼーション	iɴpɯɾobizeːɕoɴ
インプロヴァイゼィション	iɴpɯɾovaizeiɕoɴ
インプロヴィゼーション	iɴpɯɾovizeːɕoɴ
インヘリタンス	iɴheɾitaɴsɯ
インベーダー	iɴbeːdaː
インベスター	iɴbesɯtaː
インベスター・リレーションズ	iɴbesɯtaː ɾiɾeːɕoɴzɯ
インベスターリレーションズ	iɴbesɯtaːɾiɾeːɕoɴzɯ
インベステメントカウンセラー	iɴbesɯtemeɴtokaɯɴseɾaː
インベステメントバンク	iɴbesɯtemeɴtobaɴkɯ
インベストメント	iɴbesɯtomeɴto
インベストメント・アナリスト	iɴbesɯtomeɴto anaɾisɯto
インベストメント・バンキング	iɴbesɯtomeɴto baɴkiɴgɯ
インベストメント・バンク	iɴbesɯtomeɴto baɴkɯ
インベストメントアナリスト	iɴbesɯtomeɴtoanaɾisɯto
インベストメントバンキング	iɴbesɯtomeɴtobaɴkiɴgɯ
インベストメントバンク	iɴbesɯtomeɴtobaɴkɯ
インベルターゼ	iɴbeɾɯtaːze
インベンション	iɴbeɴɕoɴ
インベントリ	iɴbeɴtoɾi
インベントリー	iɴbeɴtoɾiː
インベントリー・サイクル	iɴbeɴtoɾiː saikɯɾɯ
インベントリー・ファイナンス	iɴbeɴtoɾiː ɸainaɴsɯ
インベントリー・リカバリー	iɴbeɴtoɾiː ɾikabaɾiː
インベントリー・リセッション	iɴbeɴtoɾiː ɾiseɕːoɴ
インベントリーサイクル	iɴbeɴtoɾiːsaikɯɾɯ
インベントリーファイナンス	iɴbeɴtoɾiːɸainaɴsɯ
インベントリーリカバリー	iɴbeɴtoɾiːɾikabaɾiː
インベントリーリセッション	iɴbeɴtoɾiːɾiseɕːoɴ
インペーダンス	iɴpeːdaɴsɯ
インペラ	iɴpeɾa
インペリアリズム	iɴpeɾiaɾizɯmɯ
インペリアル	iɴpeɾiaɾɯ
インペル	iɴpeɾɯ
インボックス	iɴbokːɯsɯ
インボックス・ドライバ	iɴbokːɯsɯ doɾaiba
インボックスドライバ	iɴbokːɯsɯdoɾaiba
インボリュート	iɴboɾjɯːto
インボルブ	iɴboɾɯbɯ
インポータント	iɴpoːtaɴto
インポート	iɴpoːto
インポシブル	iɴpoɕibɯɾɯ
インポッシブル	iɴpoɕːibɯɾɯ
インメガチャート	iɴmegatɕaːto
インモーラル	iɴmoːɾaɾɯ
インモラル	iɴmoɾaɾɯ
インヨウカク	iɴjoɯkakɯ
インライン	iɴɾaiɴ
インライン・イメージ	iɴɾaiɴ imeːdʑi
インライン・オブジェクト	iɴɾaiɴ obɯdʑiekɯto
インライン・コード	iɴɾaiɴ koːdo
インライン・サブルーチン	iɴɾaiɴ sabɯɾɯːtɕiɴ
インライン・スケート	iɴɾaiɴ sɯkeːto
インライン・スタイル	iɴɾaiɴ sɯtaiɾɯ
インラインイメージ	iɴɾaiɴimeːdʑi
インラインオブジェクト	iɴɾaiɴobɯdʑiekɯto
インラインコード	iɴɾaiɴkoːdo
インラインサブルーチン	iɴɾaiɴsabɯɾɯːtɕiɴ
インラインスケート	iɴɾaiɴsɯkeːto
インラインスタイル	iɴɾaiɴsɯtaiɾɯ
インラインディスカッション	iɴɾaiɴdeisɯkaɕːoɴ
インレー	iɴɾeː
インレット	iɴɾetːo
インロー	iɴɾoː
インヴァース	iɴvaːsɯ
インヴァリアント	iɴvaɾiaɴto
インヴェンション	iɴveɴɕoɴ
インヴォイス	iɴvoisɯ
イヴニング	ivɯniɴgɯ
ウージ	ɯːdʑi
ウースター・ソース	ɯːsɯtaː soːsɯ
ウースターソース	ɯːsɯtaːsoːsɯ
ウーステッド	ɯːsɯtedːo
ウーゾ	ɯːzo
ウード	ɯːdo
ウーハー	ɯːhaː
ウーハイ	ɯːhai
ウーパールーパー	ɯːpaːɾɯːpaː
ウーファー	ɯːɸaː
ウーマン	ɯːmaɴ
ウーマン・ハンター	ɯːmaɴ haɴtaː
ウーマン・パワー	ɯːmaɴ paɰᵝaː
ウーマン・リブ	ɯːmaɴ ɾibɯ
ウーマンハンター	ɯːmaɴhaɴtaː
ウーマンパワー	ɯːmaɴpaɰᵝaː
ウーマンリブ	ɯːmaɴɾibɯ
ウーリー・モンキー	ɯːɾiː moɴkiː
ウーリーコットン	ɯːɾiːkotːoɴ
ウーリーナイロン	ɯːɾiːnaiɾoɴ
ウーリーモンキー	ɯːɾiːmoɴkiː
ウール	ɯːɾɯ
ウール・マーク	ɯːɾɯ maːkɯ
ウールマーク	ɯːɾɯmaːkɯ
ウーロンハイ	ɯːɾoɴhai
ウーン	ɯːɴ
ウァギナ	ɯagina
ウィーク	ɯiːkɯ
ウィーク・ボソン	ɯiːkɯ bosoɴ
ウィーク・ポイント	ɯiːkɯ poiɴto
ウィークエンド	ɯiːkɯeɴdo
ウィークエンド・ハウス	ɯiːkɯeɴdo haɯsɯ
ウィークエンドハウス	ɯiːkɯeɴdohaɯsɯ
ウィークデー	ɯiːkɯdeː
ウィークデイ	ɯiːkɯdei
ウィークボソン	ɯiːkɯbosoɴ
ウィークポイント	ɯiːkɯpoiɴto
ウィークリ	ɯiːkɯɾi
ウィークリー	ɯiːkɯɾiː
ウィークリーマンション	ɯiːkɯɾiːmaɴɕoɴ
ウィーゼル	ɯiːzeɾɯ
ウィード	ɯiːdo
ウィービング	ɯiːbiɴgɯ
ウィーンアピール	ɯiːɴapiːɾɯ
ウィキ	ɯiki
ウィキウィキ	ɯikiɯiki
ウィク	ɯikɯ
ウィグラー	ɯigɯɾaː
ウィグワム	ɯigɯɰᵝamɯ
ウィケット	ɯiketːo
ウィザ	ɯiza
ウィザー	ɯizaː
ウィザードリー	ɯizaːdoɾiː
ウィザァド	ɯizaado
ウィジウィズ	ɯidʑiɯizɯ
ウィジェット	ɯidʑietːo
ウィスカー	ɯisɯkaː
ウィスキー・サワー	ɯisɯkiː saɰᵝaː
ウィスキーサワー	ɯisɯkiːsaɰᵝaː
ウィスキーボンボン	ɯisɯkiːboɴboɴ
ウィスパー	ɯisɯpaː
ウィッグ	ɯigːɯ
ウィッケット	ɯikːetːo
ウィッシュ	ɯiɕːɯ
ウィッシュ・リスト	ɯiɕːɯ ɾisɯto
ウィッシュリスト	ɯiɕːɯɾisɯto
ウィッチヘーゼル	ɯitɕːiheːzeɾɯ
ウィット	ɯitːo
ウィットネジ	ɯitːonedʑi
ウィドー	ɯidoː
ウィドウ	ɯidoɯ
ウィドウア	ɯidoɯa
ウィニペグ	ɯinipegɯ
ウィニング・ボール	ɯiniɴgɯ boːɾɯ
ウィニングボール	ɯiniɴgɯboːɾɯ
ウィメン	ɯimeɴ
ウィメンズ	ɯimeɴzɯ
ウィラメット	ɯiɾametːo
ウィリー	ɯiɾiː
ウィル	ɯiɾɯ
ウィルス	ɯiɾɯsɯ
ウィルス・プロテクション	ɯiɾɯsɯ pɯɾotekɯɕoɴ
ウィルスプロテクション	ɯiɾɯsɯpɯɾotekɯɕoɴ
ウィルソンアメリカムシクイ	ɯiɾɯsoɴameɾikamɯɕikɯi
ウィルトンカーペット	ɯiɾɯtoɴkaːpetːo
ウィルム	ɯiɾɯmɯ
ウィロー・グリーン	ɯiɾoː gɯɾiːɴ
ウィローグリーン	ɯiɾoːgɯɾiːɴ
ウィンイニ	ɯiɴini
ウィンエフティーピー	ɯiɴeɸɯteiːpiː
ウィンカ	ɯiɴka
ウィンカー	ɯiɴkaː
ウィンク	ɯiɴkɯ
ウィング	ɯiɴgɯ
ウィング・チェア	ɯiɴgɯ tɕea
ウィングス	ɯiɴgɯsɯ
ウィングチェア	ɯiɴgɯtɕea
ウィングヘッド・シャーク	ɯiɴgɯhedːo ɕaːkɯ
ウィングヘッドシャーク	ɯiɴgɯhedːoɕaːkɯ
ウィンサンジューニ	ɯiɴsaɴdʑɯːni
ウィンサンジューニエス	ɯiɴsaɴdʑɯːniesɯ
ウィンザー・チェア	ɯiɴzaː tɕea
ウィンザーチェア	ɯiɴzaːtɕea
ウィンジー	ɯiɴdʑiː
ウィンジップ	ɯiɴdʑipːɯ
ウィンジューロク	ɯiɴdʑɯːɾokɯ
ウィンズ	ɯiɴzɯ
ウィンソック	ɯiɴsokːɯ
ウィンタ	ɯiɴta
ウィンター・スポーツ	ɯiɴtaː sɯpoːtsɯ
ウィンタースポーツ	ɯiɴtaːsɯpoːtsɯ
ウィンタッチ	ɯiɴtatɕːi
ウィンチ	ɯiɴtɕi
ウィンチェスター・ディスク	ɯiɴtɕesɯtaː deisɯkɯ
ウィンチェスターディスク	ɯiɴtɕesɯtaːdeisɯkɯ
ウィンチェスタテクノロジ	ɯiɴtɕesɯtatekɯnoɾodʑi
ウィンチェスタディスク	ɯiɴtɕesɯtadeisɯkɯ
ウィンテル	ɯiɴteɾɯ
ウィンド	ɯiɴdo
ウィンド・オーケストラ	ɯiɴdo oːkesɯtoɾa
ウィンド・シアー	ɯiɴdo ɕiaː
ウィンド・ローズ	ɯiɴdo ɾoːzɯ
ウィンドー	ɯiɴdoː
ウィンドー・ディスプレー	ɯiɴdoː deisɯpɯɾeː
ウィンドー・ドレッシング	ɯiɴdoː doɾeɕːiɴgɯ
ウィンドーショッピング	ɯiɴdoːɕopːiɴgɯ
ウィンドーディスプレー	ɯiɴdoːdeisɯpɯɾeː
ウィンドードレッシング	ɯiɴdoːdoɾeɕːiɴgɯ
ウィンドゥズ	ɯiɴdɯzɯ
ウィンドウ・システム	ɯiɴdoɯ ɕisɯtemɯ
ウィンドウ・ソフトウェア	ɯiɴdoɯ soɸɯtoɯea
ウィンドウ・ディスプレイ	ɯiɴdoɯ deisɯpɯɾei
ウィンドウ・マネージャ	ɯiɴdoɯ maneːdʑa
ウィンドウアクセラレータボード	ɯiɴdoɯakɯseɾaɾeːtaboːdo
ウィンドウシステム	ɯiɴdoɯɕisɯtemɯ
ウィンドウショッピング	ɯiɴdoɯɕopːiɴgɯ
ウィンドウズ	ɯiɴdoɯzɯ
ウィンドウズ・アクセラレータ	ɯiɴdoɯzɯ akɯseɾaɾeːta
ウィンドウズアクセラレータ	ɯiɴdoɯzɯakɯseɾaɾeːta
ウィンドウズエヌティー	ɯiɴdoɯzɯenɯteiː
ウィンドウズキュージューゴ	ɯiɴdoɯzɯkjɯːdʑɯːgo
ウィンドウズキュージューハチ	ɯiɴdoɯzɯkjɯːdʑɯːhatɕi
ウィンドウズサンテンイチ	ɯiɴdoɯzɯsaɴteɴitɕi
ウィンドウズニセン	ɯiɴdoɯzɯniseɴ
ウィンドウズミー	ɯiɴdoɯzɯmiː
ウィンドウソフトウェア	ɯiɴdoɯsoɸɯtoɯea
ウィンドウディスプレイ	ɯiɴdoɯdeisɯpɯɾei
ウィンドウマネージャ	ɯiɴdoɯmaneːdʑa
ウィンドオーケストラ	ɯiɴdooːkesɯtoɾa
ウィンドクラスト	ɯiɴdokɯɾasɯto
ウィンドサーフィン	ɯiɴdosaːɸiɴ
ウィンドシアー	ɯiɴdoɕiaː
ウィンドブレーカー	ɯiɴdobɯɾeːkaː
ウィンドミル	ɯiɴdomiɾɯ
ウィンドローズ	ɯiɴdoɾoːzɯ
ウィンナ	ɯiɴna
ウィンナ・ソーセージ	ɯiɴna soːseːdʑi
ウィンナーシュニッツェル	ɯiɴnaːɕɯnitsːɯeɾɯ
ウィンナソーセージ	ɯiɴnasoːseːdʑi
ウィンビフ	ɯiɴbiɸɯ
ウィンブイエヌ	ɯiɴbɯienɯ
ウィンプル	ɯiɴpɯɾɯ
ウィンヘック	ɯiɴhekːɯ
ウイ	ɯi
ウイーク	ɯiːkɯ
ウイーク・ボソン	ɯiːkɯ bosoɴ
ウイーク・ポイント	ɯiːkɯ poiɴto
ウイークエンド	ɯiːkɯeɴdo
ウイークエンド・カーペンター	ɯiːkɯeɴdo kaːpeɴtaː
ウイークエンド・ファーザー	ɯiːkɯeɴdo ɸaːzaː
ウイークエンド・ペインター	ɯiːkɯeɴdo peiɴtaː
ウイークエンドカーペンター	ɯiːkɯeɴdokaːpeɴtaː
ウイークエンドファーザー	ɯiːkɯeɴdoɸaːzaː
ウイークエンドペインター	ɯiːkɯeɴdopeiɴtaː
ウイークデー	ɯiːkɯdeː
ウイークデイ	ɯiːkɯdei
ウイークボソン	ɯiːkɯbosoɴ
ウイークポイント	ɯiːkɯpoiɴto
ウイークリー	ɯiːkɯɾiː
ウイービング	ɯiːbiɴgɯ
ウイグル	ɯigɯɾɯ
ウイザード	ɯizaːdo
ウイスカー	ɯisɯkaː
ウイスキ	ɯisɯki
ウイスキー・サワー	ɯisɯkiː saɰᵝaː
ウイスキーサワー	ɯisɯkiːsaɰᵝaː
ウイスキーボンボン	ɯisɯkiːboɴboɴ
ウイスケ	ɯisɯke
ウイスパー	ɯisɯpaː
ウイック	ɯikːɯ
ウイッグ	ɯigːɯ
ウイット	ɯitːo
ウイドー	ɯidoː
ウイドウ	ɯidoɯ
ウイナー	ɯinaː
ウイナーテイクオール	ɯinaːteikɯoːɾɯ
ウイニング	ɯiniɴgɯ
ウイニング・ショット	ɯiniɴgɯ ɕotːo
ウイニング・ボール	ɯiniɴgɯ boːɾɯ
ウイニング・ポスト	ɯiniɴgɯ posɯto
ウイニング・ラン	ɯiniɴgɯ ɾaɴ
ウイニングショット	ɯiniɴgɯɕotːo
ウイニングボール	ɯiniɴgɯboːɾɯ
ウイニングポスト	ɯiniɴgɯposɯto
ウイニングラン	ɯiniɴgɯɾaɴ
ウイリー	ɯiɾiː
ウイル	ɯiɾɯ
ウイルス・シグネチャ	ɯiɾɯsɯ ɕigɯnetɕa
ウイルス・チェッカ	ɯiɾɯsɯ tɕekːa
ウイルス・チェック	ɯiɾɯsɯ tɕekːɯ
ウイルス・チェック・ソフトウェア	ɯiɾɯsɯ tɕekːɯ soɸɯtoɯea
ウイルスシグネチャ	ɯiɾɯsɯɕigɯnetɕa
ウイルスチェッカ	ɯiɾɯsɯtɕekːa
ウイルスチェック	ɯiɾɯsɯtɕekːɯ
ウイルスチェックソフトウェア	ɯiɾɯsɯtɕekːɯsoɸɯtoɯea
ウイロイド	ɯiɾoido
ウインカ	ɯiɴka
ウイング	ɯiɴgɯ
ウイング・カラー	ɯiɴgɯ kaɾaː
ウイング・チップ	ɯiɴgɯ tɕipːɯ
ウイング・ポンプ	ɯiɴgɯ poɴpɯ
ウイングカラー	ɯiɴgɯkaɾaː
ウイングチップ	ɯiɴgɯtɕipːɯ
ウイングバック	ɯiɴgɯbakːɯ
ウイングポンプ	ɯiɴgɯpoɴpɯ
ウインザーチェア	ɯiɴzaːtɕea
ウインター	ɯiɴtaː
ウインター・スポーツ	ɯiɴtaː sɯpoːtsɯ
ウインター・リゾート	ɯiɴtaː ɾizoːto
ウインタースポーツ	ɯiɴtaːsɯpoːtsɯ
ウインターリゾート	ɯiɴtaːɾizoːto
ウインド	ɯiɴdo
ウインド・ローズ	ɯiɴdo ɾoːzɯ
ウインドー・ディスプレー	ɯiɴdoː deisɯpɯɾeː
ウインドー・ドレッシング	ɯiɴdoː doɾeɕːiɴgɯ
ウインドーショッピング	ɯiɴdoːɕopːiɴgɯ
ウインドーディスプレー	ɯiɴdoːdeisɯpɯɾeː
ウインドードレッシング	ɯiɴdoːdoɾeɕːiɴgɯ
ウインドーペーン	ɯiɴdoːpeːɴ
ウインドウ	ɯiɴdoɯ
ウインドウ・メニュー	ɯiɴdoɯ menjɯː
ウインドウズ	ɯiɴdoɯzɯ
ウインドウメニュー	ɯiɴdoɯmenjɯː
ウインドクラスト	ɯiɴdokɯɾasɯto
ウインドサーファー	ɯiɴdosaːɸaː
ウインドサーフィン	ɯiɴdosaːɸiɴ
ウインドシールドワイパー	ɯiɴdoɕiːɾɯdoɰᵝaipaː
ウインドシア	ɯiɴdoɕia
ウインドシャー	ɯiɴdoɕaː
ウインドフォール	ɯiɴdoɸoːɾɯ
ウインドブレーカー	ɯiɴdobɯɾeːkaː
ウインドミル	ɯiɴdomiɾɯ
ウインドヤッケ	ɯiɴdojakːe
ウインドラス	ɯiɴdoɾasɯ
ウインドローズ	ɯiɴdoɾoːzɯ
ウインナ	ɯiɴna
ウインナ・コーヒー	ɯiɴna koːçiː
ウインナ・ソーセージ	ɯiɴna soːseːdʑi
ウインナ・ワルツ	ɯiɴna ɰᵝaɾɯtsɯ
ウインナー・ソーセージ	ɯiɴnaː soːseːdʑi
ウインナーソーセージ	ɯiɴnaːsoːseːdʑi
ウインナコーヒー	ɯiɴnakoːçiː
ウインナソーセージ	ɯiɴnasoːseːdʑi
ウインナワルツ	ɯiɴnaɰᵝaɾɯtsɯ
ウインブルドン	ɯiɴbɯɾɯdoɴ
ウェーター	ɯeːtaː
ウェート	ɯeːto
ウェートリフティング	ɯeːtoɾiɸɯteiɴgɯ
ウェートレス	ɯeːtoɾesɯ
ウェーバー	ɯeːbaː
ウェーブ	ɯeːbɯ
ウェーブフロント	ɯeːbɯɸɯɾoɴto
ウェーブレット	ɯeːbɯɾetːo
ウェーヴ	ɯeːvɯ
ウェアーウルフ	ɯeaːɯɾɯɸɯ
ウェアウルフ	ɯeaɯɾɯɸɯ
ウェアハウス	ɯeahaɯsɯ
ウェアラブル	ɯeaɾabɯɾɯ
ウェアラブル・パソコン	ɯeaɾabɯɾɯ pasokoɴ
ウェアラブルパソコン	ɯeaɾabɯɾɯpasokoɴ
ウェイ	ɯei
ウェイジ	ɯeidʑi
ウェイジ・ドリフト	ɯeidʑi doɾiɸɯto
ウェイジドリフト	ɯeidʑidoɾiɸɯto
ウェイズ	ɯeizɯ
ウェイタ	ɯeita
ウェイター	ɯeitaː
ウェイティング・ルーム	ɯeiteiɴgɯ ɾɯːmɯ
ウェイティングルーム	ɯeiteiɴgɯɾɯːmɯ
ウェイト	ɯeito
ウェイトリフティング	ɯeitoɾiɸɯteiɴgɯ
ウェイトレス	ɯeitoɾesɯ
ウェイハー	ɯeihaː
ウェイファー	ɯeiɸaː
ウェイブ	ɯeibɯ
ウェイン	ɯeiɴ
ウェイヴ	ɯeivɯ
ウェザ	ɯeza
ウェザー	ɯezaː
ウェス	ɯesɯ
ウェスタン・ウォビゴン	ɯesɯtaɴ ɯobigoɴ
ウェスタン・グリップ	ɯesɯtaɴ gɯɾipːɯ
ウェスタンウォビゴン	ɯesɯtaɴɯobigoɴ
ウェスタンキングラス	ɯesɯtaɴkiɴgɯɾasɯ
ウェスタングリップ	ɯesɯtaɴgɯɾipːɯ
ウェスト	ɯesɯto
ウェスト・オーストラリアン・バタフライフィッシュ	ɯesɯto oːsɯtoɾaɾiaɴ bataɸɯɾaiɸiɕːɯ
ウェスト・ニッパー	ɯesɯto nipːaː
ウェスト・バージニア	ɯesɯto baːdʑinia
ウェスト・ボール	ɯesɯto boːɾɯ
ウェスト・ポーチ	ɯesɯto poːtɕi
ウェストオーストラリアンクロミス	ɯesɯtooːsɯtoɾaɾiaɴkɯɾomisɯ
ウェストオーストラリアンバタフライフィッシュ	ɯesɯtooːsɯtoɾaɾiaɴbataɸɯɾaiɸiɕːɯ
ウェストコート	ɯesɯtokoːto
ウェストニッパー	ɯesɯtonipːaː
ウェストバージニア	ɯesɯtobaːdʑinia
ウェストボール	ɯesɯtoboːɾɯ
ウェストポーチ	ɯesɯtopoːtɕi
ウェストライン	ɯesɯtoɾaiɴ
ウェッジ	ɯedʑːi
ウェッジ・ソール	ɯedʑːi soːɾɯ
ウェッジ・ヒール	ɯedʑːi çiːɾɯ
ウェッジソール	ɯedʑːisoːɾɯ
ウェッジヒール	ɯedʑːiçiːɾɯ
ウェッディング	ɯedːeiɴgɯ
ウェッデルアザラシ	ɯedːeɾɯazaɾaɕi
ウェット	ɯetːo
ウェット・スーツ	ɯetːo sɯːtsɯ
ウェット・ティッシュ	ɯetːo teiɕːɯ
ウェット・フライ	ɯetːo ɸɯɾai
ウェットスーツ	ɯetːosɯːtsɯ
ウェットストーン	ɯetːosɯtoːɴ
ウェットティッシュ	ɯetːoteiɕːɯ
ウェットフライ	ɯetːoɸɯɾai
ウェッブ	ɯebːɯ
ウェディング・ケーキ	ɯedeiɴgɯ keːki
ウェディング・ドレス	ɯedeiɴgɯ doɾesɯ
ウェディング・ブルー	ɯedeiɴgɯ bɯɾɯː
ウェディング・ベール	ɯedeiɴgɯ beːɾɯ
ウェディング・ベル	ɯedeiɴgɯ beɾɯ
ウェディング・マーチ	ɯedeiɴgɯ maːtɕi
ウェディング・リング	ɯedeiɴgɯ ɾiɴgɯ
ウェディングケーキ	ɯedeiɴgɯkeːki
ウェディングドレス	ɯedeiɴgɯdoɾesɯ
ウェディングブルー	ɯedeiɴgɯbɯɾɯː
ウェディングベール	ɯedeiɴgɯbeːɾɯ
ウェディングベル	ɯedeiɴgɯbeɾɯ
ウェディングマーチ	ɯedeiɴgɯmaːtɕi
ウェディングリング	ɯedeiɴgɯɾiɴgɯ
ウェハ	ɯeha
ウェハー	ɯehaː
ウェファ	ɯeɸa
ウェファース	ɯeɸaːsɯ
ウェブ・アーカイブ	ɯebɯ aːkaibɯ
ウェブ・アドレス	ɯebɯ adoɾesɯ
ウェブ・アプリケーション	ɯebɯ apɯɾikeːɕoɴ
ウェブ・アルバム	ɯebɯ aɾɯbamɯ
ウェブ・エクスプローラ	ɯebɯ ekɯsɯpɯɾoːɾa
ウェブ・カメラ	ɯebɯ kameɾa
ウェブ・サーバ	ɯebɯ saːba
ウェブ・サーバー	ɯebɯ saːbaː
ウェブ・サービス	ɯebɯ saːbisɯ
ウェブ・サーファー	ɯebɯ saːɸaː
ウェブ・サイト	ɯebɯ saito
ウェブ・テキスト	ɯebɯ tekisɯto
ウェブ・デザイナ	ɯebɯ dezaina
ウェブ・デザイン	ɯebɯ dezaiɴ
ウェブ・トラフィック	ɯebɯ toɾaɸikːɯ
ウェブ・フォーム	ɯebɯ ɸoːmɯ
ウェブ・ブラウザ	ɯebɯ bɯɾaɯza
ウェブ・ブラウザー	ɯebɯ bɯɾaɯzaː
ウェブ・ページ	ɯebɯ peːdʑi
ウェブ・ページ・テキスト	ɯebɯ peːdʑi tekisɯto
ウェブアーカイブ	ɯebɯaːkaibɯ
ウェブアドレス	ɯebɯadoɾesɯ
ウェブアプリケーション	ɯebɯapɯɾikeːɕoɴ
ウェブアルバム	ɯebɯaɾɯbamɯ
ウェブエクスプローラ	ɯebɯekɯsɯpɯɾoːɾa
ウェブカム	ɯebɯkamɯ
ウェブカメラ	ɯebɯkameɾa
ウェブサーバ	ɯebɯsaːba
ウェブサーバー	ɯebɯsaːbaː
ウェブサービス	ɯebɯsaːbisɯ
ウェブサーファー	ɯebɯsaːɸaː
ウェブサイト	ɯebɯsaito
ウェブジン	ɯebɯdʑiɴ
ウェブティービー	ɯebɯteiːbiː
ウェブテキスト	ɯebɯtekisɯto
ウェブデービー	ɯebɯdeːbiː
ウェブデザイナ	ɯebɯdezaina
ウェブデザイン	ɯebɯdezaiɴ
ウェブデュー	ɯebɯdejɯː
ウェブトラフィック	ɯebɯtoɾaɸikːɯ
ウェブフォーム	ɯebɯɸoːmɯ
ウェブブラウザ	ɯebɯbɯɾaɯza
ウェブブラウザー	ɯebɯbɯɾaɯzaː
ウェブページテキスト	ɯebɯpeːdʑitekisɯto
ウェブマスター	ɯebɯmasɯtaː
ウェブログ	ɯebɯɾogɯ
ウェポン	ɯepoɴ
ウェルウィッチア	ɯeɾɯɯitɕːia
ウェルカム	ɯeɾɯkamɯ
ウェルカム・ボード	ɯeɾɯkamɯ boːdo
ウェルカムボード	ɯeɾɯkamɯboːdo
ウェルシュ・コーギー	ɯeɾɯɕɯ koːgiː
