ㄱㅏ	ka̠
ㄱㅏㅌㅏㄹㄱㅏㅌㅏㄹㅎㅏㄷㅏ	ka̠tʰa̠ɭɡa̠tʰa̠ɾɦa̠da̠
ㄱㅏㅌㅏㄹㄱㅓㄹㅣㄷㅏ	ka̠tʰa̠ɭɡʌ̹ɾida̠
ㄱㅏㅌㅏㄹㄷㅐㄷㅏ	ka̠tʰa̠ɭdɛ̝da̠
ㄱㅏㅌㅏㄹㅅㅡㄹㅓㅂㄷㅏ	ka̠tʰa̠ɭsʰɯɾʌ̹p̚t͈a̠
ㄱㅏㅌㅏㄹㅈㅣㄷㅏ	ka̠tʰa̠ɭd͡ʑida̠
ㄱㅏㅌㅐㄱ	ka̠tʰɛ̝k̚
ㄱㅏㅌㅐㄱ ㅂㅏㅇㅁㅜㄴ	ka̠tʰɛ̝k̚ pa̠ŋmun
ㄱㅏㅌㅐㄱ ㅅㅜㅅㅏ	ka̠tʰɛ̝k̚ sʰusʰa̠
ㄱㅏㅌㅐㄱ ㅅㅜㅅㅐㄱ	ka̠tʰɛ̝k̚ sʰusʰɛ̝k̚
ㄱㅏㅌㅐㄱ ㅂㅏㅇㅁㅜㄴ	ka̠tʰɛ̝k̚ pa̠ŋmun
ㄱㅏㅌㅐㄱ ㅅㅜㅅㅏ	ka̠tʰɛ̝k̚ sʰusʰa̠
ㄱㅏㅌㅐㄱ ㅅㅜㅅㅐㄱ	ka̠tʰɛ̝k̚ sʰusʰɛ̝k̚
ㄱㅏㅌㅗㄹ	ka̠tʰo̞ɭ
ㄱㅏㅌㅗㄹㄹㅣㄱ	ka̠tʰo̞ɭʎik̚
ㄱㅏㅌㅗㄹㄹㅣㄱㄱㅛ	ka̠tʰo̞ɭʎik̚k͈jo
ㄱㅏㅌㅗㅇ	ka̠tʰo̞ŋ
ㄱㅏㅍㅏㄹㅡㄷㅏ	ka̠pʰa̠ɾɯda̠
ㄱㅏㅍㅏㄹㅡㄴ	ka̠pʰa̠ɾɯn
ㄱㅏㅍㅏㄹㅡㅁ	ka̠pʰa̠ɾɯm
ㄱㅏㅍㅏㄴ	ka̠pʰa̠n
ㄱㅏㅍㅏㄴㄷㅐ	ka̠pʰa̠ndɛ̝
ㄱㅏㅍㅕㅇ	ka̠pʰjʌ̹ŋ
ㄱㅏㅍㅗ	ka̠pʰo̞
ㄱㅏㅍㅜㄹㅁㅏㄱ	ka̠pʰuɭma̠k̚
ㄱㅏㅍㅜㄹㅁㅏㄱㅈㅣㄷㅏ	ka̠pʰuɭma̠k̚t͡ɕ͈ida̠
ㄱㅏㅍㅜㅇ	ka̠pʰuŋ
ㄱㅏㅍㅣㄹ	ka̠pʰiɭ
ㄱㅏㅍㅣㄹㄷㅚㄷㅏ	ka̠pʰiɭdø̞da̠
ㄱㅏㅎㅏㄷㅏ	ka̠ɦa̠da̠
ㄱㅏㅎㅏㄱ	ka̠ɦa̠k̚
ㄱㅏㅎㅏㄱㅈㅓㄱ	ka̠ɦa̠k̚t͡ɕ͈ʌ̹k̚
ㄱㅏㅎㅏㅂ	ka̠ɦa̠p̚
ㄱㅏㅎㅏㅇㅂㅏㄴㅇㅝㄴ	ka̠ɦa̠ŋba̠nwʌ̹n
ㄱㅏㅎㅐ	ka̠ɦɛ̝
ㄱㅏㅎㅐㅈㅏ	ka̠ɦɛ̝d͡ʑa̠
ㄱㅏㅎㅐㅈㅣㄷㅏ	ka̠ɦɛ̝d͡ʑida̠
ㄱㅏㅎㅐㅎㅏㄷㅏ	ka̠ɦɛ̝ɦa̠da̠
ㄱㅏㅎㅑㅇ	ka̠ʝja̠ŋ
ㄱㅏㅎㅗ	ka̠βo̞
ㄱㅏㅎㅗㅈㅓㄱ	ka̠βo̞d͡ʑʌ̹k̚
ㄱㅏㅎㅗㄱ	ka̠βo̞k̚
ㄱㅏㅎㅗㄱㅎㅏㄷㅏ	ka̠βo̞kʰa̠da̠
ㄱㅏㅎㅗㄱㅎㅐㅈㅣㄷㅏ	ka̠βo̞kʰɛ̝d͡ʑida̠
ㄱㅏㅎㅘ	ka̠βwa̠
ㄱㅏㅎㅜㄴ	ka̠βun
ㄱㅏㅎㅢ	ka̠ʝi
ㄱㅏㅎㅣ	ka̠ʝi
ㄱㅏㄱ	ka̠k̚
ㄱㅏㄱㄱㅏㅈㅣ	ka̠k̚k͈a̠d͡ʑi
ㄱㅏㄱㄱㅏㄱ	ka̠k̚k͈a̠k̚
ㄱㅏㄱㄱㅐ	ka̠k̚k͈ɛ̝
ㄱㅏㄱㄱㅖ	ka̠k̚k͈je̞
ㄱㅏㄱㄱㅗ	ka̠k̚k͈o̞
ㄱㅏㄱㄱㅗㄱㅇㅠㅁㅗㄱ	ka̠k̚k͈o̞ɡjumo̞k̚
ㄱㅏㄱㄱㅗㄹ	ka̠k̚k͈o̞ɭ
ㄱㅏㄱㄱㅗㄹㄴㅏㄴㅁㅏㅇ	ka̠k̚k͈o̞ɭɭa̠nma̠ŋ
ㄱㅏㄱㄱㅗㄹㅌㅗㅇㅎㅏㄴ	ka̠k̚k͈o̞ɭtʰo̞ŋɦa̠n
ㄱㅏㄱㄱㅘ	ka̠k̚k͈wa̠
ㄱㅏㄱㄱㅘㅇ	ka̠k̚k͈wa̠ŋ
ㄱㅏㅋㅜㅁㅗㄱ	ka̠kʰumo̞k̚
ㄱㅏㄱㄱㅜㄱ	ka̠k̚k͈uk̚
ㄱㅏㄱㄱㅡㄴㅁㅕㄴㄹㅕ	ka̠k̚k͈ɯnmjʌ̹ɭʎjʌ̹
ㄱㅏㄱㄱㅡㅂ	ka̠k̚k͈ɯp̚
ㄱㅏㄱㄱㅣ	ka̠k̚k͈i
ㄱㅏㄱㄱㅣㄷㅜㅇ	ka̠k̚k͈iduŋ
ㄱㅏㄱㄷㅏㄱㅟㅍㅏㄹㅣㅁㅐ	ka̠k̚t͈a̠ɡɥipʰa̠ɾimɛ̝
ㄱㅏㄱㄷㅏㅂㅜㄴ	ka̠k̚t͈a̠bun
ㄱㅏㄱㄷㅏㄴ	ka̠k̚t͈a̠n
ㄱㅏㄱㄷㅐ	ka̠k̚t͈ɛ̝
ㄱㅏㄱㄷㅗ	ka̠k̚t͈o̞
ㄱㅏㄱㄷㅗㄱㅔㅇㅣㅈㅣ	ka̠k̚t͈o̞ɡe̞id͡ʑi
ㄱㅏㄱㄷㅗㄱㅣ	ka̠k̚t͈o̞ɡi
ㄱㅏㄱㄷㅗㅂㅜㄴㅎㅐㄴㅡㅇ	ka̠k̚t͈o̞bunɦɛ̝nɯŋ
ㄱㅏㄱㄹㅕㅁ	ka̠ŋɲjʌ̹m
ㄱㅏㄱㄹㅗㄴ	ka̠ŋno̞n
ㄱㅏㄱㄹㅛ	ka̠ŋɲjo
ㄱㅏㄱㄹㅜ	ka̠ŋnu
ㄱㅏㄱㅁㅏㄱ	ka̠ŋma̠k̚
ㄱㅏㄱㅁㅏㄱㅇㅕㅁ	ka̠ŋma̠ɡjʌ̹m
ㄱㅏㄱㅁㅏㄱㅇㅣㅅㅣㄱ	ka̠ŋma̠ɡiɕʰik̚
ㄱㅏㄱㅁㅗㄱ	ka̠ŋmo̞k̚
ㄱㅏㄱㅁㅣㄴ	ka̠ŋmin
ㄱㅏㄱㅂㅏㄱ	ka̠k̚p͈a̠k̚
ㄱㅏㄱㅂㅏㄱㅅㅓㅇㄱㅏ	ka̠k̚p͈a̠ks͈ʌ̹ŋɡa̠
ㄱㅏㄱㅂㅏㄱㅎㅏㄷㅏ	ka̠k̚p͈a̠kʰa̠da̠
ㄱㅏㄱㅂㅏㄴ	ka̠k̚p͈a̠n
ㄱㅏㄱㅂㅏㅇ	ka̠k̚p͈a̠ŋ
ㄱㅏㄱㅂㅕㄹ	ka̠k̚p͈jʌ̹ɭ
ㄱㅏㄱㅂㅕㄹㅎㅏㄷㅏ	ka̠k̚p͈jʌ̹ɾɦa̠da̠
ㄱㅏㄱㅂㅕㄹㅎㅣ	ka̠k̚p͈jʌ̹ɾʝi
ㄱㅏㄱㅂㅗㄴ	ka̠k̚p͈o̞n
ㄱㅏㄱㅃㅜㄹ	ka̠k̚p͈uɭ
ㄱㅏㄱㅅㅏㄱㄱㅏㄱㅅㅏㄱ	ka̠ks͈a̠k̚k͈a̠ks͈a̠k̚
ㄱㅏㄱㅅㅏㄱㄱㅏㄱㅅㅏㄱㅎㅏㄷㅏ	ka̠ks͈a̠k̚k͈a̠ks͈a̠kʰa̠da̠
ㄱㅏㄱㅅㅏㄱㄱㅓㄹㅣㄷㅏ	ka̠ks͈a̠k̚k͈ʌ̹ɾida̠
ㄱㅏㄱㅅㅏㄱㄷㅐㄷㅏ	ka̠ks͈a̠k̚t͈ɛ̝da̠
ㄱㅏㄱㅅㅏㄹㄹㅣㅁ	ka̠ks͈a̠ɭʎim
ㄱㅏㄱㅅㅐㄱ	ka̠ks͈ɛ̝k̚
ㄱㅏㄱㅅㅐㅇ	ka̠ks͈ɛ̝ŋ
ㄱㅏㄱㅅㅐㅇㅇㅑㄱ	ka̠ks͈ɛ̝ŋja̠k̚
ㄱㅏㄱㅅㅓ	ka̠ks͈ʌ̹
ㄱㅏㄱㅅㅓㄴㅁㅣ	ka̠ks͈ʌ̹nmi
ㄱㅏㄱㅅㅓㄹㅇㅣ	ka̠ks͈ʌ̹ɾi
ㄱㅏㄱㅅㅓㄹㅎㅏㄷㅏ	ka̠ks͈ʌ̹ɾɦa̠da̠
ㄱㅏㄱㅅㅓㅁㅅㅓㄱ	ka̠ks͈ʌ̹msʰʌ̹k̚
ㄱㅏㄱㅅㅓㅇ	ka̠ks͈ʌ̹ŋ
ㄱㅏㄱㅅㅓㅇㅈㅔ	ka̠ks͈ʌ̹ŋd͡ʑe̞
ㄱㅏㄱㅅㅓㅇㅎㅏㄷㅏ	ka̠ks͈ʌ̹ŋɦa̠da̠
ㄱㅏㄱㅅㅗㄱㄷㅗ	ka̠ks͈o̞k̚t͈o̞
ㄱㅏㄱㅅㅣ	ka̠kɕ͈i
ㄱㅏㄱㅅㅣㄴㅗㄹㅇㅡㅁ	ka̠kɕ͈ino̞ɾɯm
ㄱㅏㄱㅅㅣㅂㅜㅅㄲㅗㅊ	ka̠kɕ͈ibut̚k͈o̞t̚
ㄱㅏㄱㅅㅣㄹ	ka̠kɕ͈iɭ
ㄱㅏㄱㅅㅣㅁ	ka̠kɕ͈im
ㄱㅏㄱㅇㅏㅂㅣㅈㅏㅅㅣㄱ	ka̠ɡa̠bid͡ʑa̠ɕʰik̚
ㄱㅏㄱㅇㅏㅁ	ka̠ɡa̠m
ㄱㅏㄱㅇㅑㅇ	ka̠ɡja̠ŋ
ㄱㅏㄱㅇㅑㅇㄱㅏㄱㅅㅐㄱ	ka̠ɡja̠ŋɡa̠ks͈ɛ̝k̚
ㄱㅏㄱㅇㅑㅇㄱㅏㄱㅇㅣ	ka̠ɡja̠ŋɡa̠ɡi
ㄱㅏㄱㅇㅗ	ka̠ɡo̞
ㄱㅏㄱㅇㅗㅎㅏㄷㅏ	ka̠ɡo̞ɦa̠da̠
ㄱㅏㄱㅇㅜㄴ	ka̠ɡun
ㄱㅏㄱㅇㅟ	ka̠ɡɥi
ㄱㅏㄱㅇㅢ	ka̠ɡɰi
ㄱㅏㄱㅇㅣㄴ	ka̠ɡin
ㄱㅏㄱㅇㅣㄴㄱㅏㄱㅅㅐㄱ	ka̠ɡinɡa̠ks͈ɛ̝k̚
ㄱㅏㄱㅈㅏ	ka̠k̚t͡ɕ͈a̠
ㄱㅏㄱㅈㅏㄷㅗㅅㅐㅇ	ka̠k̚t͡ɕ͈a̠do̞sʰɛ̝ŋ
ㄱㅏㄱㅈㅏㅁㅜㅊㅣ	ka̠k̚t͡ɕ͈a̠mut͡ɕʰi
ㄱㅏㄱㅈㅐ	ka̠k̚t͡ɕ͈ɛ̝
ㄱㅏㄱㅈㅓㄴㄱㅜㅇ	ka̠k̚t͡ɕ͈ʌ̹nɡuŋ
ㄱㅏㄱㅈㅗㅇ	ka̠k̚t͡ɕ͈o̞ŋ
ㄱㅏㄱㅈㅜ	ka̠k̚t͡ɕ͈u
ㄱㅏㄱㅈㅜㄱㅜㄱㅓㅁ	ka̠k̚t͡ɕ͈uɡuɡʌ̹m
ㄱㅏㄱㅈㅣ	ka̠k̚t͡ɕ͈i
ㄱㅏㄱㅈㅣㅎㅏㄷㅏ	ka̠k̚t͡ɕ͈iɦa̠da̠
ㄱㅏㄱㅈㅣㄹ	ka̠k̚t͡ɕ͈iɭ
ㄱㅏㄱㅊㅓ	ka̠k̚t͡ɕʰʌ̹
ㄱㅏㄱㅊㅔ	ka̠k̚t͡ɕʰe̞
ㄱㅏㄱㅊㅜㄱ	ka̠k̚t͡ɕʰuk̚
ㄱㅏㄱㅊㅜㄱㅈㅏㅇ	ka̠k̚t͡ɕʰuk̚t͡ɕ͈a̠ŋ
ㄱㅏㄱㅊㅜㄹ	ka̠k̚t͡ɕʰuɭ
ㄱㅏㄱㅊㅡㅇ	ka̠k̚t͡ɕʰɯŋ
ㄱㅏㄱㅊㅣㄷㅏ	ka̠k̚t͡ɕʰida̠
ㄱㅏㄱㅊㅣㅁ	ka̠k̚t͡ɕʰim
ㄱㅏㄱㅍㅏ	ka̠k̚pʰa̠
ㄱㅏㄱㅍㅣㄹ	ka̠k̚pʰiɭ
ㄱㅏㄱㅎㅏ	ka̠kʰa̠
ㄱㅏㄱㅎㅏㅇ	ka̠kʰa̠ŋ
ㄱㅏㄱㅎㅕㄹ	ka̠kçjʌ̹ɭ
ㄱㅏㄴ	ka̠n
ㄱㅏㄴㄱㅏㄴ	ka̠nɡa̠n
ㄱㅏㄴㄱㅏㄴㅇㅣ	ka̠nɡa̠ni
ㄱㅏㄴㄱㅏㄴㅉㅏㅂㅈㅏㄹㅎㅏㄷㅏ	ka̠nɡa̠nt͡ɕ͈a̠p̚t͡ɕ͈a̠ɾɦa̠da̠
ㄱㅏㄴㄱㅏㄴㅉㅏㅂㅉㅏㄹ	ka̠nɡa̠nt͡ɕ͈a̠p̚t͡ɕ͈a̠ɭ
ㄱㅏㄴㄱㅏㄴㅉㅏㅂㅉㅏㄹㅎㅏㄷㅏ	ka̠nɡa̠nt͡ɕ͈a̠p̚t͡ɕ͈a̠ɾɦa̠da̠
ㄱㅏㄴㄱㅏㄴㅉㅏㅂㅉㅏㄹㅎㅣ	ka̠nɡa̠nt͡ɕ͈a̠p̚t͡ɕ͈a̠ɾʝi
ㄱㅏㄴㄱㅏㄴㅎㅏㄷㅏ	ka̠nɡa̠nɦa̠da̠
ㄱㅏㄴㄱㅏㄴㅎㅣ	ka̠nɡa̠nʝi
ㄱㅏㄴㄱㅕㄱ	ka̠nɡjʌ̹k̚
ㄱㅏㄴㄱㅕㄹ	ka̠nɡjʌ̹ɭ
ㄱㅏㄴㄱㅕㄹㅁㅣ	ka̠nɡjʌ̹ɭmi
ㄱㅏㄴㄱㅕㄹㅎㅏㄷㅏ	ka̠nɡjʌ̹ɾɦa̠da̠
ㄱㅏㄴㄱㅕㅇ	ka̠nɡjʌ̹ŋ
ㄱㅏㄴㄱㅖ	ka̠nɡje̞
ㄱㅏㄴㄱㅗ	ka̠nɡo̞
ㄱㅏㄴㄱㅗㄷㅡㅇㅇㅓ	ka̠nɡo̞dɯŋʌ̹
ㄱㅏㄴㄱㅗㄱ	ka̠nɡo̞k̚
ㄱㅏㄴㄱㅗㄱㅎㅣ	ka̠nɡo̞kçi
ㄱㅏㄴㄱㅘ	ka̠nɡwa̠
ㄱㅏㄴㄱㅘㅎㅏㄷㅏ	ka̠nɡwa̠ɦa̠da̠
ㄱㅏㄴㄱㅛ	ka̠nɡjo
ㄱㅏㄴㄱㅜ	ka̠nɡu
ㄱㅏㄴㄱㅡㄱ	ka̠nɡɯk̚
ㄱㅏㄴㄴㅏ	ka̠nna̠
ㄱㅏㄴㄴㅏㄴ	ka̠nna̠n
ㄱㅏㄴㄴㅏㄹ	ka̠nna̠ɭ
ㄱㅏㄴㄴㅚ	ka̠nnø̞
ㄱㅏㄴㄷㅏㄱ	ka̠nda̠k̚
ㄱㅏㄴㄷㅏㄱㄱㅏㄴㄷㅏㄱ	ka̠nda̠k̚k͈a̠nda̠k̚
ㄱㅏㄴㄷㅏㄱㄱㅏㄴㄷㅏㄱㅎㅏㄷㅏ	ka̠nda̠k̚k͈a̠nda̠kʰa̠da̠
ㄱㅏㄴㄷㅏㄱㄱㅓㄹㅣㄷㅏ	ka̠nda̠k̚k͈ʌ̹ɾida̠
ㄱㅏㄴㄷㅏㄱㄷㅐㄷㅏ	ka̠nda̠k̚t͈ɛ̝da̠
ㄱㅏㄴㄷㅏㄱㅇㅣㄷㅏ	ka̠nda̠ɡida̠
ㄱㅏㄴㄷㅏㄴ	ka̠nda̠n
ㄱㅏㄴㄷㅏㄴㅁㅕㅇㄹㅛ	ka̠nda̠nmjʌ̹ŋɲjo
ㄱㅏㄴㄷㅏㄴㅇㅓㅄㄷㅏ	ka̠nda̠nʌ̹p̚t͈a̠
ㄱㅏㄴㄷㅏㄴㅎㅏㄷㅏ	ka̠nda̠nɦa̠da̠
ㄱㅏㄴㄷㅏㄴㅎㅣ	ka̠nda̠nʝi
ㄱㅏㄴㄷㅏㅁ	ka̠nda̠m
ㄱㅏㄴㄷㅏㅇ	ka̠nda̠ŋ
ㄱㅏㄴㄷㅏㅇㄱㅏㄴㄷㅏㅇ	ka̠nda̠ŋɡa̠nda̠ŋ
ㄱㅏㄴㄷㅏㅇㄱㅏㄴㄷㅏㅇㅎㅏㄷㅏ	ka̠nda̠ŋɡa̠nda̠ŋɦa̠da̠
ㄱㅏㄴㄷㅏㅇㄱㅓㄹㅣㄷㅏ	ka̠nda̠ŋɡʌ̹ɾida̠
ㄱㅏㄴㄷㅏㅇㄷㅐㄷㅏ	ka̠nda̠ŋdɛ̝da̠
ㄱㅏㄴㄷㅏㅇㅇㅣㄷㅏ	ka̠nda̠ŋida̠
ㄱㅏㄴㄷㅐㅇ	ka̠ndɛ̝ŋ
ㄱㅏㄴㄷㅐㅇㄱㅏㄴㄷㅐㅇ	ka̠ndɛ̝ŋɡa̠ndɛ̝ŋ
ㄱㅏㄴㄷㅐㅇㄱㅏㄴㄷㅐㅇㅎㅏㄷㅏ	ka̠ndɛ̝ŋɡa̠ndɛ̝ŋɦa̠da̠
ㄱㅏㄴㄷㅐㅇㄱㅓㄹㅣㄷㅏ	ka̠ndɛ̝ŋɡʌ̹ɾida̠
ㄱㅏㄴㄷㅐㅇㄷㅐㄷㅏ	ka̠ndɛ̝ŋdɛ̝da̠
ㄱㅏㄴㄷㅐㅇㅇㅣㄷㅏ	ka̠ndɛ̝ŋida̠
ㄱㅏㄴㄷㅔㅈㅗㄱㅈㅗㄱ	ka̠nde̞d͡ʑo̞k̚t͡ɕ͈o̞k̚
ㄱㅏㄴㄷㅔㅇㅇㅣ	ka̠nde̞ŋi
ㄱㅏㄴㄷㅗ	ka̠ndo̞
ㄱㅏㄴㄷㅗㅇ	ka̠ndo̞ŋ
ㄱㅏㄴㄷㅗㅇㄱㅏㄴㄷㅗㅇ	ka̠ndo̞ŋɡa̠ndo̞ŋ
ㄱㅏㄴㄷㅗㅇㄱㅏㄴㄷㅗㅇㅎㅏㄷㅏ	ka̠ndo̞ŋɡa̠ndo̞ŋɦa̠da̠
ㄱㅏㄴㄷㅗㅇㄱㅡㄹㅣㄷㅏ	ka̠ndo̞ŋɡɯɾida̠
ㄱㅏㄴㄷㅗㅇㅎㅏㄷㅏ	ka̠ndo̞ŋɦa̠da̠
ㄱㅏㄴㄷㅗㅇㅎㅣ	ka̠ndo̞ŋʝi
ㄱㅏㄴㄷㅜㄷㅏ	ka̠nduda̠
ㄱㅏㄴㄷㅜㅈㅣㅅㅔ	ka̠ndud͡ʑisʰe̞
ㄱㅏㄴㄷㅡㄹㅏㄱㄱㅏㄴㄷㅡㄹㅏㄱ	ka̠ndɯɾa̠k̚k͈a̠ndɯɾa̠k̚
ㄱㅏㄴㄷㅡㄹㅏㄱㄱㅏㄴㄷㅡㄹㅏㄱㅎㅏㄷㅏ	ka̠ndɯɾa̠k̚k͈a̠ndɯɾa̠kʰa̠da̠
ㄱㅏㄴㄷㅡㄹㅏㄱㄱㅓㄹㅣㄷㅏ	ka̠ndɯɾa̠k̚k͈ʌ̹ɾida̠
ㄱㅏㄴㄷㅡㄹㅏㄱㄷㅐㄷㅏ	ka̠ndɯɾa̠k̚t͈ɛ̝da̠
ㄱㅏㄴㄷㅡㄹㅏㅇ	ka̠ndɯɾa̠ŋ
ㄱㅏㄴㄷㅡㄹㅏㅇㄱㅏㄴㄷㅡㄹㅏㅇ	ka̠ndɯɾa̠ŋɡa̠ndɯɾa̠ŋ
ㄱㅏㄴㄷㅡㄹㅏㅇㄱㅏㄴㄷㅡㄹㅏㅇㅎㅏㄷㅏ	ka̠ndɯɾa̠ŋɡa̠ndɯɾa̠ŋɦa̠da̠
ㄱㅏㄴㄷㅡㄹㅏㅇㄱㅓㄹㅣㄷㅏ	ka̠ndɯɾa̠ŋɡʌ̹ɾida̠
ㄱㅏㄴㄷㅡㄹㅏㅇㄷㅐㄷㅏ	ka̠ndɯɾa̠ŋdɛ̝da̠
ㄱㅏㄴㄷㅡㄹㅓㅈㅣㄷㅏ	ka̠ndɯɾʌ̹d͡ʑida̠
ㄱㅏㄴㄷㅡㅈㅏㄱ	ka̠ndɯd͡ʑa̠k̚
ㄱㅏㄴㄷㅡㅈㅏㄱㄱㅏㄴㄷㅡㅈㅏㄱ	ka̠ndɯd͡ʑa̠k̚k͈a̠ndɯd͡ʑa̠k̚
ㄱㅏㄴㄷㅡㅈㅏㄱㄱㅏㄴㄷㅡㅈㅏㄱㅎㅏㄷㅏ	ka̠ndɯd͡ʑa̠k̚k͈a̠ndɯd͡ʑa̠kʰa̠da̠
ㄱㅏㄴㄷㅡㅈㅏㄱㄱㅓㄹㅣㄷㅏ	ka̠ndɯd͡ʑa̠k̚k͈ʌ̹ɾida̠
ㄱㅏㄴㄷㅡㅈㅏㄱㄷㅐㄷㅏ	ka̠ndɯd͡ʑa̠k̚t͈ɛ̝da̠
ㄱㅏㄴㄷㅡㄱㄱㅏㄴㄷㅡㄱ	ka̠ndɯk̚k͈a̠ndɯk̚
ㄱㅏㄴㄷㅡㄱㄱㅏㄴㄷㅡㄱㅎㅏㄷㅏ	ka̠ndɯk̚k͈a̠ndɯkʰa̠da̠
ㄱㅏㄴㄷㅡㄱㄱㅓㄹㅣㄷㅏ	ka̠ndɯk̚k͈ʌ̹ɾida̠
ㄱㅏㄴㄷㅡㄱㄷㅐㄷㅏ	ka̠ndɯk̚t͈ɛ̝da̠
ㄱㅏㄴㄷㅡㄹ	ka̠ndɯɭ
ㄱㅏㄴㄷㅡㄹㄱㅏㄴㄷㅡㄹ	ka̠ndɯɭɡa̠ndɯɭ
ㄱㅏㄴㄷㅡㄹㄱㅏㄴㄷㅡㄹㅎㅏㄷㅏ	ka̠ndɯɭɡa̠ndɯɾɦa̠da̠
ㄱㅏㄴㄷㅡㄹㄱㅓㄹㅣㄷㅏ	ka̠ndɯɭɡʌ̹ɾida̠
ㄱㅏㄴㄷㅡㄹㄷㅐㄷㅏ	ka̠ndɯɭdɛ̝da̠
ㄱㅏㄴㄷㅡㄹㅁㅏㄱㄱㅏㄴㄷㅡㄹㅁㅏㄱ	ka̠ndɯɭma̠k̚k͈a̠ndɯɭma̠k̚
ㄱㅏㄴㄷㅡㄹㅁㅏㄱㄱㅏㄴㄷㅡㄹㅁㅏㄱㅎㅏㄷㅏ	ka̠ndɯɭma̠k̚k͈a̠ndɯɭma̠kʰa̠da̠
ㄱㅏㄴㄷㅡㄹㅁㅏㄱㄱㅓㄹㅣㄷㅏ	ka̠ndɯɭma̠k̚k͈ʌ̹ɾida̠
ㄱㅏㄴㄷㅡㄹㅁㅏㄱㄷㅐㄷㅏ	ka̠ndɯɭma̠k̚t͈ɛ̝da̠
ㄱㅏㄴㄷㅣㅅㅡㅌㅗㅁㅏ	ka̠ndisʰɯtʰo̞ma̠
ㄱㅏㄴㄷㅣㅇㅣㅈㅡㅁ	ka̠ndiid͡ʑɯm
ㄱㅏㄴㄷㅣㅈㅡㅁ	ka̠ndid͡ʑɯm
ㄱㅏㄴㄸㅗ ㅈㅣㅂㅏㅇ	ka̠nt͈o̞ t͡ɕiba̠ŋ
ㄱㅏㄴㄸㅗ ㅍㅕㅇㅇㅝㄴ	ka̠nt͈o̞ pʰjʌ̹ŋwʌ̹n
ㄱㅏㄴㄹㅑㄱ	ka̠ɭʎja̠k̚
ㄱㅏㄴㄹㅑㄱㅎㅏㄷㅏ	ka̠ɭʎja̠kʰa̠da̠
ㄱㅏㄴㅁㅏㄱㅇㅣ	ka̠nma̠ɡi
ㄱㅏㄴㅁㅏㄴ	ka̠nma̠n
ㄱㅏㄴㅁㅕㅇ	ka̠nmjʌ̹ŋ
ㄱㅏㄴㅁㅕㅇㅈㅣㄱㅈㅓㄹ	ka̠nmjʌ̹ŋd͡ʑik̚t͡ɕ͈ʌ̹ɭ
ㄱㅏㄴㅁㅕㅇㅎㅏㄷㅏ	ka̠nmjʌ̹ŋɦa̠da̠
ㄱㅏㄴㅁㅗ	ka̠nmo̞
ㄱㅏㄴㅁㅗㄱㅅㅜㅅㅐㅇ	ka̠nmo̞ks͈usʰɛ̝ŋ
ㄱㅏㄴㅁㅜㄹ	ka̠nmuɭ
ㄱㅏㄴㅁㅜㄹㄸㅐ	ka̠nmuɭt͈ɛ̝
ㄱㅏㄴㅂㅏㄹ	ka̠nba̠ɭ
ㄱㅏㄴㅂㅏㅁ	ka̠nba̠m
ㄱㅏㄴㅂㅏㅇ	ka̠nba̠ŋ
ㄱㅏㄴㅂㅕㅇ	ka̠nbjʌ̹ŋ
ㄱㅏㄴㅂㅜ	ka̠nbu
ㄱㅏㄴㅅㅏ	ka̠nsʰa̠
ㄱㅏㄴㅅㅏㅎㅏㄷㅏ	ka̠nsʰa̠ɦa̠da̠
ㄱㅏㄴㅅㅏㄹ	ka̠nsʰa̠ɭ
ㄱㅏㄴㅅㅓㄱㅈㅣ	ka̠nsʰʌ̹k̚t͡ɕ͈i
ㄱㅏㄴㅅㅓㄴ	ka̠nsʰʌ̹n
ㄱㅏㄴㅅㅓㄴㄷㅗㄹㅗ	ka̠nsʰʌ̹ndo̞ɾo̞
ㄱㅏㄴㅅㅓㅂ	ka̠nsʰʌ̹p̚
ㄱㅏㄴㅅㅓㅂㅎㅏㄷㅏ	ka̠nsʰʌ̹pʰa̠da̠
ㄱㅏㄴㅅㅓㅇ	ka̠nsʰʌ̹ŋ
ㄱㅏㄴㅅㅔ	ka̠nsʰe̞
ㄱㅏㄴㅅㅗ	ka̠nsʰo̞
ㄱㅏㄴㅅㅗㅎㅏㄷㅏ	ka̠nsʰo̞ɦa̠da̠
ㄱㅏㄴㅅㅗㅎㅘ	ka̠nsʰo̞βwa̠
ㄱㅏㄴㅅㅗㅎㅘㅎㅏㄷㅏ	ka̠nsʰo̞βwa̠ɦa̠da̠
ㄱㅏㄴㅅㅗㄹ	ka̠nsʰo̞ɭ
ㄱㅏㄴㅅㅜ	ka̠nsʰu
ㄱㅏㄴㅅㅣ	ka̠nɕʰi
ㄱㅏㄴㅅㅣㄱ	ka̠nɕʰik̚
ㄱㅏㄴㅅㅣㄴ	ka̠nɕʰin
ㄱㅏㄴㅅㅣㄴㅂㅐ	ka̠nɕʰinbɛ̝
ㄱㅏㄴㅅㅣㄴㅎㅣ	ka̠nɕʰinʝi
ㄱㅏㄴㅅㅣㄹㄱㅏㄴㅅㅣㄹ	ka̠nɕʰiɭɡa̠nɕʰiɭ
